urn	n	speaker	raw_word	pos	lemma
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:21@ἴδοις	21	Ὀδυσσεύς	ἴδοις	verb	ὁράω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:21@ποτὸν	21	Ὀδυσσεύς	ποτὸν	adjective	ποτός
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:21@κρηναῖον,	21	Ὀδυσσεύς	κρηναῖον,	adjective	κρηναῖος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:21@εἴπερ	21	Ὀδυσσεύς	εἴπερ	subordinating_conjunction	εἴπερ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:21@ἐστὶ	21	Ὀδυσσεύς	ἐστὶ	auxiliary	εἰμί
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:21@σῶν.	21	Ὀδυσσεύς	σῶν.	adjective	σῶς
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:22@ἅ	22	Ὀδυσσεύς	ἅ	pronoun	ὅς
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:22@μοι	22	Ὀδυσσεύς	μοι	pronoun	ἐγώ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:22@προσελθὼν	22	Ὀδυσσεύς	προσελθὼν	verb	προσέρχομαι
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:22@σῖγα	22	Ὀδυσσεύς	σῖγα	verb	σιγάω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:22@σήμαινʼ	22	Ὀδυσσεύς	σήμαινʼ	noun	σῆμαιν
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:22@εἴτʼ	22	Ὀδυσσεύς	εἴτʼ	pronoun	εἰμί
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:22@ἐκεῖ	22	Ὀδυσσεύς	ἐκεῖ	adverb	ἐκεῖ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:23@χῶρον	23	Ὀδυσσεύς	χῶρον	noun	χῶρος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:23@τὸν	23	Ὀδυσσεύς	τὸν	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:23@αὐτὸν	23	Ὀδυσσεύς	αὐτὸν	determiner	αὐτός
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:23@τόνδʼ	23	Ὀδυσσεύς	τόνδʼ	adjective	τός
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:23@ἔτʼ	23	Ὀδυσσεύς	ἔτʼ	adverb	ἔτʼ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:23@εἴτʼ	23	Ὀδυσσεύς	εἴτʼ	pronoun	εἰμί
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:23@ἄλλῃ	23	Ὀδυσσεύς	ἄλλῃ	adjective	ἄλλος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:23@κυρεῖ,	23	Ὀδυσσεύς	κυρεῖ,	verb	κυρέω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:24@ὡς	24	Ὀδυσσεύς	ὡς	adverb	ὡς
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:24@τἀπίλοιπα	24	Ὀδυσσεύς	τἀπίλοιπα	adjective	τἀπίλοιπος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:24@τῶν	24	Ὀδυσσεύς	τῶν	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:24@λόγων	24	Ὀδυσσεύς	λόγων	noun	λόγος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:24@σὺ	24	Ὀδυσσεύς	σὺ	pronoun	σύ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:24@μὲν	24	Ὀδυσσεύς	μὲν	adverb	μέν
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:24@κλύῃς	24	Ὀδυσσεύς	κλύῃς	verb	κλύω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:24@,	24	Ὀδυσσεύς	,	verb	εἶμι
